HJD,dmag,err
5763.79782,6.1451,0.0043
5763.79849,6.1703,0.0043
5763.79916,6.1471,0.0043
5763.79983,6.1562,0.0043
5763.8005,6.1513,0.0044
5763.80118,6.1511,0.0043
5763.80185,6.1594,0.0045
5763.80252,6.1726,0.0046
5763.80319,6.1953,0.0049
5764.56135,5.5102,0.0049
5764.56218,5.5058,0.0049
5764.56301,5.5069,0.0048
5764.56385,5.5114,0.0048
5764.56468,5.5008,0.0048
5764.56551,5.5071,0.0048
5764.56635,5.4869,0.0049
5764.56718,5.5034,0.0048
5764.56801,5.5152,0.0049
5764.56885,5.511,0.0048
5764.56969,5.5165,0.0049
5764.57052,5.5125,0.0049
5764.57136,5.5026,0.0049
5764.57219,5.4975,0.0049
5764.57302,5.5136,0.0049
5764.57682,5.5008,0.0048
5764.57765,5.4988,0.0048
5764.57849,5.504,0.0049
5764.57932,5.5172,0.0049
5764.58015,5.5051,0.0049
5764.58099,5.4968,0.0049
5764.58182,5.4944,0.0049
5764.58265,5.504,0.0049
5764.58349,5.502,0.0049
5764.58432,5.4955,0.0049
5764.58516,5.4933,0.005
5764.586,5.4981,0.0049
5764.58683,5.4996,0.0049
5764.58766,5.4985,0.0049
5764.5885,5.4834,0.0049
5764.58933,5.496,0.0049
5764.59016,5.4991,0.0049
5764.591,5.4906,0.0049
5764.59183,5.4928,0.0049
5764.59266,5.4895,0.0049
5764.5935,5.5049,0.0049
5764.59433,5.4999,0.0049
5764.59516,5.4836,0.0049
5764.596,5.5042,0.0049
5764.59683,5.4832,0.0049
5764.59766,5.49,0.0049
5764.5985,5.4869,0.0049
5764.59933,5.4901,0.0049
5764.60016,5.4758,0.0049
5764.601,5.4822,0.0049
5764.60184,5.4799,0.0049
5764.60268,5.4873,0.0049
5764.60351,5.4739,0.0049
5764.60434,5.4877,0.0049
5764.60518,5.4839,0.005
5764.60601,5.4786,0.0049
5764.60684,5.4954,0.0049
5764.60767,5.4933,0.0049
5764.60851,5.4806,0.0049
5764.60934,5.4788,0.0049
5764.61017,5.484,0.0049
5764.61101,5.4753,0.0049
5764.61184,5.4781,0.0049
5764.61269,5.4759,0.0049
5764.61352,5.4843,0.0049
5764.61435,5.4839,0.0049
5764.61519,5.4727,0.005
5764.61602,5.4866,0.005
5764.61685,5.4895,0.005
5764.61768,5.4971,0.0051
5764.61852,5.4749,0.0049
5764.61935,5.4616,0.0051
5764.62018,5.458,0.0051
5764.62102,5.452,0.0051
5764.62185,5.4604,0.0051
5764.62551,5.4752,0.0051
5764.62634,5.4624,0.0051
5764.62718,5.4503,0.0051
5764.62801,5.4508,0.0051
5764.62884,5.4491,0.0051
5764.62968,5.472,0.005
5764.63051,5.4428,0.0051
5764.63134,5.4701,0.005
5764.63218,5.4515,0.005
5764.63301,5.474,0.005
5764.63385,5.4631,0.005
5764.63469,5.4483,0.005
5764.63552,5.4385,0.005
5764.63636,5.4365,0.005
5764.6372,5.4485,0.005
5764.63803,5.4402,0.005
5764.63886,5.4651,0.005
5764.63969,5.4703,0.005
5764.64052,5.4436,0.005
5764.64135,5.4309,0.0051
5764.64219,5.4262,0.0051
5764.64302,5.4337,0.0051
5764.64385,5.4355,0.0051
5764.64469,5.4388,0.005
5764.64552,5.4186,0.0051
5764.64635,5.443,0.0051
5764.64719,5.4338,0.005
5764.64802,5.4574,0.005
5764.64885,5.4381,0.005
5764.64969,5.432,0.0051
5764.65053,5.436,0.005
5764.65135,5.4246,0.005
5764.65218,5.4402,0.005
5764.65302,5.427,0.0051
5764.65385,5.4284,0.005
5764.6547,5.4257,0.005
5764.65552,5.4277,0.005
5764.65635,5.4217,0.005
5764.65718,5.4335,0.005
5764.65802,5.4254,0.005
5764.65885,5.4212,0.005
5764.65968,5.4505,0.0049
5764.66052,5.428,0.005
5764.66135,5.4254,0.005
5764.66218,5.4279,0.0049
5764.66303,5.3595,0.0051
5764.66385,5.4337,0.0049
5764.6647,5.427,0.0049
5764.66553,5.4153,0.0049
5764.66636,5.4314,0.0049
5764.6672,5.4182,0.0049
5764.66803,5.4149,0.0049
5764.66886,5.4231,0.0049
5764.6697,5.4148,0.0049
5764.67053,5.4075,0.005
5764.67262,5.4184,0.0049
5764.67346,5.4193,0.0049
5764.6743,5.417,0.005
5764.67514,5.4152,0.005
5764.67597,5.4139,0.005
5764.6768,5.4221,0.005
5764.67764,5.4064,0.005
5764.67847,5.4108,0.005
5764.6793,5.4133,0.0049
5764.68014,5.412,0.0049
5764.68097,5.3979,0.005
5764.6818,5.41,0.005
5764.68264,5.4,0.005
5764.68347,5.4136,0.005
5764.6843,5.4063,0.005
5764.68514,5.4158,0.005
5764.68598,5.4062,0.005
5764.68681,5.424,0.0049
5764.68765,5.4032,0.005
5764.68847,5.406,0.005
5764.68931,5.4127,0.005
5764.69015,5.3938,0.005
5764.69097,5.4063,0.005
5764.6918,5.4184,0.0049
5764.69263,5.4115,0.005
5764.69348,5.3945,0.005
5764.69431,5.43,0.0049
5764.69515,5.406,0.0049
5764.69598,5.3967,0.005
5764.69681,5.4136,0.0049
5764.69764,5.3991,0.005
5764.69848,5.4101,0.0049
5764.69931,5.4004,0.0049
5764.70014,5.4223,0.005
5764.70098,5.3891,0.005
5764.70182,5.4042,0.005
5764.70266,5.3999,0.005
5764.70349,5.4094,0.0049
5764.70432,5.3985,0.005
5764.70516,5.3952,0.005
5764.70599,5.4085,0.005
5764.70682,5.3871,0.005
5764.70766,5.4042,0.0051
5764.70849,5.4035,0.005
5764.70932,5.3931,0.005
5764.71017,5.3988,0.005
5764.71101,5.4116,0.0049
5764.71183,5.403,0.005
5764.71268,5.3911,0.005
5764.71351,5.3987,0.005
5764.71435,5.3904,0.0051
5764.71518,5.3804,0.0051
5764.71602,5.3997,0.005
5764.71686,5.3834,0.005
5764.71769,5.3803,0.005
5764.7224,5.429,0.005
5764.72323,5.3935,0.005
5764.72407,5.4206,0.005
5764.7249,5.3885,0.005
5764.72573,5.3272,0.0052
5764.72658,5.3822,0.0051
5764.7274,5.3022,0.0053
