HJD,dmag,err
5698.62709,1.1844,0.0648
5698.63945,1.3839,0.0493
5698.66229,1.3012,0.046
5698.67638,1.2338,0.0554
5698.69013,1.3777,0.0557
5698.70268,1.3527,0.0504
5698.71532,1.3336,0.0512
5698.73013,1.3207,0.0582
5698.74261,1.34,0.0509
5698.75543,1.288,0.0597
5698.76828,1.3527,0.0568
5698.78118,1.3652,0.0437
5698.79598,1.3143,0.0455
5698.8106,1.3652,0.0437
5698.8238,1.2338,0.0484
5698.83637,1.3527,0.0442
5698.84891,1.3012,0.046
5698.86166,1.4022,0.0425
5698.87618,1.3652,0.0437
5698.88882,1.2747,0.0536
5698.90319,1.3012,0.0591
5698.9158,1.3012,0.0591
5698.93328,1.2407,0.0688
5702.62025,1.444,0.0647
5702.65702,1.4673,0.0809
5702.69048,1.4845,0.057
5702.74548,1.39,0.0613
5702.77688,1.4845,0.057
5702.87351,1.4557,0.0466
5702.91033,1.2612,0.0542
5703.64332,1.4959,0.0565
5703.70769,1.4959,0.0509
5703.72418,1.2612,0.061
5703.73913,1.3839,0.0493
5703.75615,1.3652,0.05
5703.77349,1.5349,0.0439
5703.79438,1.3012,0.0591
5703.82604,1.4083,0.0544
5703.84127,1.4022,0.0546
5703.859,1.3715,0.0559
5705.70594,1.4262,0.0477
5705.72021,1.4143,0.0421
5705.73418,1.5294,0.0386
5705.74827,1.5403,0.0437
5705.76232,1.4381,0.0413
5705.77704,1.4731,0.0403
5705.79272,1.4731,0.0403
5705.81585,1.3336,0.0384
5705.82849,1.4022,0.0425
5705.85072,1.3777,0.0433
5705.86682,1.4381,0.0472
5705.88179,1.4673,0.0462
5705.89636,1.4143,0.0481
5705.91232,1.3715,0.0559
5705.93045,1.4959,0.0509
5706.58054,1.5403,0.0547
5706.65253,1.4673,0.0404
5706.70996,1.5239,0.0387
5706.73528,1.4673,0.0462
5706.7497,1.4902,0.0397
5706.76608,1.34,0.0446
5706.78666,1.4557,0.0466
5706.80173,1.4959,0.0396
5706.83783,1.4615,0.0464
5706.85234,1.3961,0.0427
5706.86734,1.4203,0.0479
5706.88385,1.3715,0.0559
5707.575,1.4673,0.0404
5707.5857,1.4788,0.0401
5707.59797,1.39,0.0368
5707.61119,1.4499,0.041
5707.62383,1.5403,0.0383
5707.6458,1.4845,0.0342
5707.65824,1.4022,0.0425
5707.68043,1.5183,0.0333
5707.69305,1.4959,0.0339
5707.70597,1.4322,0.0356
5707.71854,1.4083,0.0363
5707.73121,1.4262,0.0358
5707.74447,1.4673,0.0347
5707.75774,1.4673,0.0347
5707.77129,1.4788,0.0343
5707.78523,1.4731,0.0345
5707.79812,1.4845,0.0342
5707.8112,1.3715,0.0373
5707.82497,1.34,0.0382
5707.83754,1.4788,0.0343
5707.85033,1.4557,0.035
5707.86474,1.5071,0.0392
5707.87731,1.4143,0.0421
5707.89234,1.4788,0.0401
5707.90509,1.5127,0.0446
5707.92391,1.4262,0.0417
5707.941,1.3839,0.0616
5708.57143,1.4203,0.0479
5708.59091,1.5239,0.0443
5708.60477,1.4902,0.0397
5708.61782,1.4557,0.0524
5708.63387,1.5071,0.0392
5708.66079,1.5403,0.0383
5708.67458,1.4499,0.041
5708.68734,1.4673,0.0404
5708.7112,1.5834,0.0317
5708.72386,1.4499,0.0351
5708.7365,1.5781,0.0372
5708.74933,1.5458,0.0381
5708.76347,1.4083,0.0423
5708.77815,1.4381,0.0413
5708.79323,1.562,0.043
5708.81356,1.4083,0.0423
5708.82727,1.5239,0.0332
5708.85884,1.5403,0.0383
5708.87463,1.5458,0.0435
5708.89108,1.3777,0.0557
5708.91052,1.4557,0.0524
5709.56676,1.4322,0.0356
5709.57998,1.5727,0.032
5709.59293,1.4499,0.0293
5709.60777,1.5939,0.0315
5709.6205,1.4902,0.0341
5709.63296,1.4902,0.0341
5709.66055,1.5727,0.0267
5709.78854,1.5071,0.0336
5711.72214,1.5458,0.0218
5712.56908,1.6302,0.046
5712.57946,1.6454,0.0404
5712.60606,1.5239,0.0332
5712.62931,1.5458,0.0327
5712.64187,1.4959,0.0396
5712.66427,1.6044,0.0313
5712.67693,1.5939,0.0315
5712.68972,1.562,0.0322
5712.7029,1.5834,0.0317
5712.71605,1.4615,0.0348
5712.72946,1.5512,0.0271
5712.74371,1.5127,0.0279
5712.75727,1.5886,0.0264
5712.77213,1.5781,0.0266
5712.78542,1.5458,0.0327
5712.79861,1.4902,0.0341
5712.81189,1.5991,0.0314
5712.82446,1.5403,0.0328
5712.8372,1.5403,0.0328
5712.85466,1.5781,0.0372
5712.8719,1.5886,0.0369
5712.88584,1.5512,0.0379
5712.92676,1.4203,0.0539
5713.73785,1.5781,0.0266
5713.75377,1.5349,0.0274
5713.7682,1.5566,0.027
5713.78982,1.5458,0.0272
5713.80237,1.4902,0.0284
5713.81486,1.5127,0.0279
5713.82775,1.5458,0.0327
5713.84074,1.6454,0.0253
5713.86822,1.4381,0.0354
5714.57609,1.5674,0.0428
5714.59452,1.5566,0.0378
5714.60897,1.5991,0.0366
5714.62311,1.4959,0.0452
5714.63773,1.5674,0.0321
5714.65059,1.5183,0.0333
5714.66353,1.4615,0.029
5714.6859,1.5458,0.0272
5714.69868,1.5991,0.0209
5714.86505,1.6044,0.0365
5715.5608,1.5727,0.032
5715.57819,1.7144,0.0288
5715.58739,1.6403,0.0304
5715.61536,1.5991,0.0314
5715.62811,1.6754,0.0297
5715.65111,1.5991,0.0314
5715.66732,1.5458,0.0327
5715.68087,1.5349,0.0329
5715.69577,1.6803,0.0295
5715.70922,1.5834,0.0265
5715.72629,1.6044,0.026
5715.74084,1.6852,0.0245
5715.75832,1.6803,0.0295
5715.77332,1.5939,0.0315
5715.78745,1.6999,0.0291
5715.80041,1.6605,0.03
5715.8172,1.6454,0.0303
5715.83,1.6505,0.0302
