HJD,dmag,err
5660.22222,1.0833,0.0703
5660.23457,1.0478,0.069
5660.24692,1.0119,0.0676
5660.25808,1.1508,0.1797
5660.97808,1.0086,0.0857
5660.98478,1.2266,0.0724
5660.99591,1.2088,0.0646
5661.007,1.1336,0.0654
5661.0194,1.2181,0.0691
5661.03051,1.0942,0.0794
5661.04161,1.0774,0.0807
5661.05395,1.0426,0.0823
5661.06506,1.1342,0.0606
5661.07617,1.0754,0.0789
5661.08851,0.9616,0.079
5661.09961,0.986,0.0845
5661.11078,1.1211,0.0645
5661.12311,1.0283,0.074
5661.13423,1.0662,0.0687
5661.1454,0.9573,0.0836
5661.15776,0.9895,0.0791
5661.16885,1.0349,0.0672
5661.17994,1.0716,0.0845
5661.19229,1.058,0.0632
5661.20461,0.8704,0.094
5661.21572,1.0282,0.0657
5661.22929,0.9917,0.0803
5661.24165,1.1186,0.066
5661.25399,0.9954,0.1195
5661.97866,0.9388,0.2882
5661.986,-0.3562,2.3092
5661.9971,0.2439,0.9332
5662.00821,0.6894,0.386
5662.02056,0.1178,1.0569
5662.06625,1.2245,0.3471
5662.07983,1.326,0.8535
5662.09217,0.3538,0.2749
5662.10326,0.752,0.1658
5662.11682,0.0047,0.3906
5662.12918,1.2453,0.0776
5662.14029,0.8079,0.1351
5662.1514,0.9864,0.0896
5662.16372,0.8547,0.1259
5662.17482,1.1524,0.0837
5662.18593,0.7317,0.1323
5662.19826,0.9657,0.1007
5662.20935,1.0029,0.0934
5662.22043,0.6548,0.2102
5662.23277,0.7949,0.1662
5662.24518,0.1505,0.3508
5662.25627,0.5529,0.4442
5662.97538,1.1718,0.0986
5662.98122,1.2435,0.0788
5662.99232,1.095,0.0619
5663.00342,1.0504,0.0702
5663.01578,0.9359,0.0632
5663.02688,1.0388,0.0754
5663.03798,1.0531,0.0664
5663.05032,1.0256,0.0669
5663.06146,1.117,0.0725
5663.07257,1.0501,0.0771
5663.0849,0.9765,0.0796
5663.09599,1.1067,0.092
5663.10709,1.0455,0.078
5663.11944,0.9554,0.0868
5663.13053,1.0511,0.103
5663.14164,1.0819,0.1036
